practice,inr,population,value,date
102192,4.0,1960,0.0020408163265306124,2020-01-01
107402,23.0,2033,0.01131333005410723,2020-01-01
107404,10.0,1188,0.008417508417508417,2020-01-01
110407,213.0,11207,0.019005978406353173,2020-01-01
113410,38.0,3568,0.010650224215246636,2020-01-01
114411,5.0,2227,0.00224517287831163,2020-01-01
118416,20.0,2088,0.009578544061302681,2020-01-01
120,138.0,10547,0.013084289371385229,2020-01-01
120270,1.0,4125,0.00024242424242424242,2020-01-01
120417,147.0,4889,0.030067498465943955,2020-01-01
121418,95.0,3184,0.029836683417085428,2020-01-01
123419,55.0,2011,0.02734957732471407,2020-01-01
123568,49.0,3110,0.015755627009646302,2020-01-01
124414,113.0,3581,0.031555431443730804,2020-01-01
124791,297.0,15885,0.018696883852691217,2020-01-01
129710,5.0,2354,0.0021240441801189465,2020-01-01
131175,79.0,5286,0.01494513810064321,2020-01-01
131428,71.0,1821,0.03898956617243273,2020-01-01
137434,123.0,7260,0.016942148760330577,2020-01-01
138445,20.0,4089,0.004891171435558816,2020-01-01
139436,23.0,2449,0.009391588403429971,2020-01-01
143263,62.0,4634,0.013379369874838154,2020-01-01
145433,190.0,15962,0.011903270266883849,2020-01-01
148223,0.0,69,0.0,2020-01-01
149438,129.0,4660,0.027682403433476395,2020-01-01
150438,12.0,4559,0.002632156174599693,2020-01-01
155445,105.0,3490,0.03008595988538682,2020-01-01
157446,12.0,5158,0.0023264831329972858,2020-01-01
159447,47.0,2242,0.02096342551293488,2020-01-01
16,143.0,7607,0.01879847508873406,2020-01-01
163452,40.0,6490,0.0061633281972265025,2020-01-01
163453,1.0,4374,0.00022862368541380886,2020-01-01
17,7.0,5348,0.0013089005235602095,2020-01-01
170459,16.0,2109,0.007586533902323376,2020-01-01
171459,20.0,3766,0.0053106744556558685,2020-01-01
172460,67.0,3272,0.02047677261613692,2020-01-01
174462,31.0,4094,0.007572056668295066,2020-01-01
175463,10.0,9458,0.0010573059843518714,2020-01-01
177513,3.0,2692,0.001114413075780089,2020-01-01
