practice,inr,population,value,date
182518,21.0,4130,0.005084745762711864,2020-01-01
182519,2.0,2614,0.0007651109410864575,2020-01-01
184521,1.0,3320,0.00030120481927710846,2020-01-01
185521,13.0,12488,0.0010409993593850095,2020-01-01
186523,26.0,2050,0.012682926829268294,2020-01-01
187523,11.0,2524,0.004358161648177496,2020-01-01
189526,120.0,5980,0.020066889632107024,2020-01-01
19,69.0,8911,0.007743238693749299,2020-01-01
190527,0.0,5417,0.0,2020-01-01
191528,30.0,5379,0.005577244841048522,2020-01-01
195532,24.0,3029,0.007923407065037967,2020-01-01
196528,138.0,8124,0.016986706056129987,2020-01-01
196530,114.0,10481,0.01087682473046465,2020-01-01
196531,139.0,11637,0.01194465927644582,2020-01-01
196533,9.0,4971,0.0018105009052504525,2020-01-01
197535,4.0,2265,0.0017660044150110375,2020-01-01
20,133.0,9973,0.01333600721949263,2020-01-01
201538,100.0,15235,0.006563833278634723,2020-01-01
206540,19.0,6728,0.0028240190249702733,2020-01-01
20989,1.0,6312,0.00015842839036755386,2020-01-01
20999,26.0,6462,0.004023522129371711,2020-01-01
210547,14.0,2248,0.006227758007117438,2020-01-01
213550,0.0,5881,0.0,2020-01-01
215552,35.0,2850,0.012280701754385965,2020-01-01
217554,4.0,2060,0.001941747572815534,2020-01-01
218555,6.0,3263,0.0018387986515476554,2020-01-01
219557,21.0,3732,0.005627009646302251,2020-01-01
220,14.0,2890,0.004844290657439446,2020-01-01
222559,2.0,2842,0.0007037297677691766,2020-01-01
223560,2.0,1750,0.001142857142857143,2020-01-01
224553,25.0,7869,0.003177023764137756,2020-01-01
224554,6.0,9934,0.0006039863096436481,2020-01-01
22470,46.0,2584,0.01780185758513932,2020-01-01
225562,15.0,5841,0.0025680534155110425,2020-01-01
226563,27.0,10436,0.0025871981602146417,2020-01-01
228565,0.0,1905,0.0,2020-01-01
229566,3.0,4121,0.0007279786459597186,2020-01-01
233568,2.0,2852,0.0007012622720897616,2020-01-01
233569,3.0,6189,0.0004847309743092584,2020-01-01
235568,35.0,5170,0.006769825918762089,2020-01-01
23633,8.0,2842,0.0028149190710767065,2020-01-01
237573,4.0,4483,0.0008922596475574393,2020-01-01
237574,26.0,12309,0.002112275570720611,2020-01-01
240576,19.0,2218,0.008566275924256087,2020-01-01
240577,15.0,7633,0.0019651513166513822,2020-01-01
242578,14.0,3971,0.0035255603122639136,2020-01-01
245582,19.0,2686,0.007073715562174236,2020-01-01
24643,53.0,6208,0.008537371134020618,2020-01-01
24646,28.0,8974,0.0031201248049922,2020-01-01
246583,2.0,3268,0.0006119951040391676,2020-01-01
248585,73.0,5563,0.013122415962610103,2020-01-01
250587,22.0,4053,0.00542807796693807,2020-01-01
25140,24.0,4165,0.005762304921968787,2020-01-01
25142,0.0,3988,0.0,2020-01-01
251589,1.0,2644,0.00037821482602118004,2020-01-01
25301,27.0,4070,0.006633906633906634,2020-01-01
255592,16.0,2888,0.00554016620498615,2020-01-01
256592,4.0,4957,0.0008069396812588259,2020-01-01
257595,2.0,4173,0.0004792715073088905,2020-01-01
25849,27.0,7078,0.003814636903079966,2020-01-01
25857,40.0,3176,0.012594458438287154,2020-01-01
25927,11.0,2611,0.004212945231711987,2020-01-01
25949,31.0,6821,0.004544788154229585,2020-01-01
25951,16.0,6865,0.002330662782228696,2020-01-01
26024,43.0,6884,0.006246368390470656,2020-01-01
26043,2.0,8253,0.00024233612019871562,2020-01-01
26097,18.0,7032,0.002559726962457338,2020-01-01
26108,10.0,4553,0.0021963540522732263,2020-01-01
26162,4.0,3986,0.0010035122930255895,2020-01-01
26164,21.0,2264,0.009275618374558304,2020-01-01
26179,19.0,3057,0.0062152437029767745,2020-01-01
265601,0.0,6309,0.0,2020-01-01
266602,5.0,2492,0.0020064205457463883,2020-01-01
267603,1.0,2386,0.00041911148365465214,2020-01-01
267604,34.0,8443,0.004027004619211181,2020-01-01
269606,47.0,6121,0.007678483907858193,2020-01-01
27011,108.0,9427,0.011456454863689403,2020-01-01
27012,60.0,6262,0.009581603321622485,2020-01-01
27013,110.0,7635,0.014407334643091027,2020-01-01
27014,86.0,13354,0.006440017972143178,2020-01-01
27015,27.0,15534,0.0017381228273464658,2020-01-01
27017,31.0,4451,0.006964727027634239,2020-01-01
27018,224.0,19279,0.011618859899372374,2020-01-01
27026,46.0,7528,0.006110520722635494,2020-01-01
27027,70.0,6019,0.011629838843661738,2020-01-01
27029,61.0,15879,0.0038415517349959065,2020-01-01
27030,2.0,7599,0.0002631925253322806,2020-01-01
27032,20.0,7231,0.0027658691743880515,2020-01-01
27034,1.0,2695,0.00037105751391465676,2020-01-01
27039,3.0,6274,0.0004781638508128785,2020-01-01
27040,2.0,4304,0.00046468401486988845,2020-01-01
27041,3.0,2839,0.0010567101091933778,2020-01-01
27044,2.0,1614,0.0012391573729863693,2020-01-01
27045,32.0,6145,0.0052074857607811225,2020-01-01
27047,16.0,5081,0.003148986419996064,2020-01-01
27050,5.0,2114,0.0023651844843897824,2020-01-01
27052,6.0,5803,0.001033947957952783,2020-01-01
27055,18.0,5164,0.0034856700232378003,2020-01-01
27058,6.0,2092,0.0028680688336520078,2020-01-01
27059,26.0,7826,0.0033222591362126247,2020-01-01
27060,93.0,8238,0.011289147851420248,2020-01-01
270606,2.0,4712,0.00042444821731748726,2020-01-01
27065,7.0,4142,0.0016900048285852245,2020-01-01
27068,3.0,1995,0.0015037593984962407,2020-01-01
27069,49.0,5744,0.008530640668523676,2020-01-01
27070,108.0,10669,0.01012278564064111,2020-01-01
27071,114.0,8281,0.013766453326892887,2020-01-01
27072,30.0,7048,0.004256526674233825,2020-01-01
27073,104.0,8033,0.012946595294410557,2020-01-01
27075,55.0,6517,0.008439466011968697,2020-01-01
27076,59.0,6059,0.009737580458821588,2020-01-01
27077,71.0,6482,0.010953409441530391,2020-01-01
27084,87.0,16645,0.005226794833283269,2020-01-01
27086,15.0,3374,0.004445761707172495,2020-01-01
27087,119.0,10578,0.011249763660427303,2020-01-01
271608,4.0,5083,0.0007869368483179224,2020-01-01
272608,10.0,4155,0.0024067388688327317,2020-01-01
274602,88.0,8345,0.01054523666866387,2020-01-01
274608,545.0,23410,0.023280649295173005,2020-01-01
274610,179.0,13940,0.012840746054519368,2020-01-01
274614,178.0,8045,0.022125543816034803,2020-01-01
275614,357.0,11406,0.03129931614939505,2020-01-01
275616,156.0,9943,0.015689429749572565,2020-01-01
275617,413.0,10611,0.03892187352747149,2020-01-01
275618,153.0,9407,0.01626448389497183,2020-01-01
275620,298.0,9876,0.03017415957877683,2020-01-01
276764,29.0,5473,0.005298739265485109,2020-01-01
276966,103.0,12244,0.008412283567461614,2020-01-01
278074,3.0,10856,0.0002763448784082535,2020-01-01
278682,67.0,7157,0.009361464300684644,2020-01-01
278784,70.0,7925,0.008832807570977918,2020-01-01
280905,11.0,2059,0.005342399222923749,2020-01-01
281006,77.0,8727,0.008823192391428899,2020-01-01
281106,111.0,9956,0.011149055845721173,2020-01-01
281107,26.0,6551,0.0039688597160738815,2020-01-01
281402,25.0,8485,0.0029463759575721863,2020-01-01
281711,14.0,8762,0.0015978087194704405,2020-01-01
28178,34.0,9396,0.0036185610898254576,2020-01-01
281908,41.0,3688,0.011117136659436009,2020-01-01
282216,18.0,8998,0.0020004445432318294,2020-01-01
28418,14.0,2537,0.005518328734726055,2020-01-01
284338,142.0,9544,0.014878457669740152,2020-01-01
284742,59.0,8252,0.007149781871061561,2020-01-01
285347,8.0,7469,0.0010710938545990091,2020-01-01
286357,25.0,2569,0.00973141300116777,2020-01-01
28642,18.0,5081,0.0035426097224955716,2020-01-01
28645,10.0,1718,0.005820721769499418,2020-01-01
286559,2.0,1757,0.0011383039271485487,2020-01-01
286661,3.0,1522,0.0019710906701708277,2020-01-01
286762,0.0,1738,0.0,2020-01-01
28682,6.0,9504,0.0006313131313131314,2020-01-01
28701,25.0,9001,0.002777469170092212,2020-01-01
28720,26.0,4935,0.0052684903748733535,2020-01-01
287265,363.0,22979,0.015797032072762087,2020-01-01
287402,30.0,4668,0.006426735218508998,2020-01-01
287446,153.0,6696,0.0228494623655914,2020-01-01
287456,11.0,5185,0.0021215043394406945,2020-01-01
287464,196.0,6853,0.028600612870275793,2020-01-01
288420,97.0,5239,0.01851498377552968,2020-01-01
288571,159.0,10322,0.015403991474520443,2020-01-01
288971,23.0,2890,0.00795847750865052,2020-01-01
289267,3.0,2081,0.0014416146083613647,2020-01-01
289768,126.0,13968,0.00902061855670103,2020-01-01
289771,51.0,4304,0.011849442379182156,2020-01-01
289772,21.0,2749,0.007639141506002182,2020-01-01
289773,58.0,4705,0.012327311370882041,2020-01-01
289774,24.0,2661,0.009019165727170236,2020-01-01
289776,4.0,2705,0.0014787430683918669,2020-01-01
289921,52.0,11109,0.004680889368980107,2020-01-01
290784,51.0,10639,0.004793683616881286,2020-01-01
290785,60.0,6241,0.009613843935266785,2020-01-01
290786,37.0,3986,0.009282488710486703,2020-01-01
291235,0.0,73,0.0,2020-01-01
291379,122.0,9316,0.013095749248604552,2020-01-01
291430,34.0,8361,0.004066499222581031,2020-01-01
291582,45.0,3142,0.014322087842138766,2020-01-01
291680,34.0,4111,0.008270493797129653,2020-01-01
292088,33.0,6152,0.005364109232769831,2020-01-01
292096,64.0,9086,0.007043803653973145,2020-01-01
292105,33.0,9536,0.003460570469798658,2020-01-01
292116,18.0,4952,0.0036348949919224557,2020-01-01
292120,17.0,16790,0.0010125074449076831,2020-01-01
292196,82.0,11003,0.00745251295101336,2020-01-01
292211,22.0,3280,0.006707317073170732,2020-01-01
292213,71.0,6971,0.010185052359776216,2020-01-01
292250,88.0,4223,0.020838266635093534,2020-01-01
292254,197.0,14730,0.013374066530889342,2020-01-01
292280,115.0,10431,0.011024829834148212,2020-01-01
292281,60.0,11530,0.005203816131830009,2020-01-01
292314,58.0,8865,0.006542583192329385,2020-01-01
292319,319.0,15901,0.020061631343940633,2020-01-01
292361,71.0,9101,0.007801340512031645,2020-01-01
292372,142.0,6362,0.022320025149324112,2020-01-01
292384,186.0,10985,0.016932180245789713,2020-01-01
292385,8.0,10720,0.0007462686567164179,2020-01-01
292400,36.0,13597,0.0026476428623961167,2020-01-01
292453,152.0,8645,0.017582417582417582,2020-01-01
292476,55.0,6168,0.008916990920881971,2020-01-01
292483,61.0,6764,0.009018332347723241,2020-01-01
292491,6.0,1766,0.0033975084937712344,2020-01-01
292497,52.0,4711,0.01103799617915517,2020-01-01
292506,110.0,11530,0.009540329575021683,2020-01-01
292533,6.0,10973,0.0005467966827667912,2020-01-01
292560,61.0,7768,0.007852729145211122,2020-01-01
292594,21.0,7031,0.0029867728630351303,2020-01-01
292596,32.0,8303,0.003854028664338191,2020-01-01
292646,20.0,4319,0.0046307015512850195,2020-01-01
292663,25.0,3379,0.00739863865048831,2020-01-01
292690,36.0,3675,0.009795918367346938,2020-01-01
292700,11.0,8136,0.001352015732546706,2020-01-01
292718,13.0,7732,0.0016813243662700465,2020-01-01
292736,2.0,3535,0.0005657708628005657,2020-01-01
292746,10.0,10664,0.0009377344336084021,2020-01-01
292757,8.0,6263,0.0012773431262973016,2020-01-01
292759,165.0,9535,0.0173046670162559,2020-01-01
292772,15.0,3858,0.0038880248833592537,2020-01-01
292775,23.0,7424,0.0030980603448275863,2020-01-01
292779,43.0,3240,0.013271604938271606,2020-01-01
292782,132.0,7173,0.018402342116269343,2020-01-01
292800,29.0,5530,0.005244122965641953,2020-01-01
292810,4.0,7697,0.0005196829933740418,2020-01-01
292833,99.0,9624,0.010286783042394014,2020-01-01
292836,72.0,4710,0.015286624203821656,2020-01-01
292848,76.0,13880,0.00547550432276657,2020-01-01
292859,7.0,5723,0.0012231347195526823,2020-01-01
292918,18.0,10983,0.0016388964763725759,2020-01-01
292925,219.0,16579,0.013209481874660716,2020-01-01
292935,34.0,5684,0.005981703026038001,2020-01-01
292943,36.0,11475,0.003137254901960784,2020-01-01
292950,15.0,5732,0.0026168876482903,2020-01-01
292993,24.0,15772,0.001521683996956632,2020-01-01
293013,70.0,6736,0.010391923990498812,2020-01-01
293019,179.0,9980,0.017935871743486972,2020-01-01
293029,119.0,6830,0.017423133235724742,2020-01-01
293043,29.0,8475,0.0034218289085545723,2020-01-01
293046,7.0,11145,0.0006280843427545985,2020-01-01
293047,7.0,1978,0.003538928210313448,2020-01-01
293076,20.0,10679,0.0018728345350688266,2020-01-01
293087,108.0,16351,0.0066051006054675555,2020-01-01
293104,225.0,15107,0.014893757860594426,2020-01-01
293120,205.0,12831,0.01597693087054789,2020-01-01
293132,43.0,2838,0.015151515151515152,2020-01-01
293135,158.0,7809,0.02023306441285696,2020-01-01
293165,12.0,8449,0.0014202864244289265,2020-01-01
293170,8.0,9798,0.0008164931618697694,2020-01-01
293173,174.0,9949,0.01748919489395919,2020-01-01
293174,155.0,7750,0.02,2020-01-01
293177,96.0,14284,0.006720806496779613,2020-01-01
293205,6.0,2616,0.0022935779816513763,2020-01-01
293210,70.0,5800,0.01206896551724138,2020-01-01
293229,143.0,10689,0.01337823931144167,2020-01-01
293256,223.0,9698,0.022994431841616828,2020-01-01
293260,150.0,6087,0.02464268112370626,2020-01-01
293460,255.0,23502,0.010850140413581823,2020-01-01
293506,49.0,3728,0.013143776824034335,2020-01-01
293539,25.0,4919,0.005082333807684488,2020-01-01
293582,54.0,10337,0.005223952790945148,2020-01-01
293607,4.0,5869,0.0006815471119441132,2020-01-01
293678,28.0,4576,0.006118881118881119,2020-01-01
293688,47.0,3381,0.013901212658976633,2020-01-01
293693,239.0,21875,0.010925714285714285,2020-01-01
293714,14.0,2190,0.006392694063926941,2020-01-01
293719,167.0,13164,0.012686113643269523,2020-01-01
293729,0.0,2646,0.0,2020-01-01
293736,71.0,6179,0.01149053244861628,2020-01-01
293799,250.0,19771,0.012644782762632138,2020-01-01
293809,180.0,10097,0.017827077349707832,2020-01-01
293814,78.0,8841,0.008822531387852052,2020-01-01
293816,17.0,2168,0.007841328413284132,2020-01-01
293832,1.0,2790,0.00035842293906810036,2020-01-01
293851,10.0,4063,0.002461235540241201,2020-01-01
293861,14.0,17008,0.0008231420507996237,2020-01-01
293946,13.0,3354,0.003875968992248062,2020-01-01
294012,29.0,7519,0.003856895863811677,2020-01-01
294058,5.0,3470,0.001440922190201729,2020-01-01
294091,39.0,4874,0.008001641362330735,2020-01-01
294097,21.0,4873,0.004309460291401601,2020-01-01
294105,51.0,4978,0.010245078344716753,2020-01-01
294146,216.0,12839,0.01682374016667965,2020-01-01
294182,194.0,10345,0.018753020782986952,2020-01-01
294415,98.0,12534,0.007818733046114568,2020-01-01
294709,95.0,10227,0.009289136599198201,2020-01-01
294788,29.0,5571,0.005205528630407468,2020-01-01
294819,104.0,14189,0.00732962153781098,2020-01-01
294944,125.0,7538,0.01658264791721942,2020-01-01
295064,62.0,6491,0.009551686951163148,2020-01-01
295067,39.0,17415,0.002239448751076658,2020-01-01
295744,17.0,2718,0.006254598969830758,2020-01-01
295745,81.0,5449,0.014865112864745825,2020-01-01
295746,211.0,13780,0.015312046444121916,2020-01-01
295748,164.0,16760,0.009785202863961813,2020-01-01
295750,192.0,9019,0.021288391174187824,2020-01-01
295751,153.0,10171,0.015042768655982697,2020-01-01
295752,121.0,10976,0.011024052478134112,2020-01-01
295753,60.0,5289,0.011344299489506523,2020-01-01
295754,116.0,12292,0.009437032216075496,2020-01-01
295755,202.0,14877,0.013578006318478188,2020-01-01
295756,59.0,3254,0.018131530424093423,2020-01-01
295757,114.0,6117,0.018636586562040217,2020-01-01
295758,123.0,8163,0.015067989709665565,2020-01-01
295760,128.0,6373,0.020084732465087088,2020-01-01
295762,133.0,8021,0.016581473631716744,2020-01-01
295763,253.0,14431,0.017531702584713465,2020-01-01
295764,118.0,7976,0.014794383149448346,2020-01-01
295767,154.0,5314,0.02898005269100489,2020-01-01
295769,205.0,9537,0.021495229107685854,2020-01-01
295771,66.0,6693,0.009861048857014791,2020-01-01
295773,49.0,7581,0.006463527239150508,2020-01-01
295774,200.0,11574,0.017280110592707794,2020-01-01
295775,135.0,6669,0.020242914979757085,2020-01-01
295776,104.0,8741,0.01189795217938451,2020-01-01
295778,359.0,15658,0.02292757695746583,2020-01-01
295779,93.0,3277,0.02837961550198352,2020-01-01
296247,5.0,1799,0.0027793218454697055,2020-01-01
296250,76.0,5319,0.014288400075202106,2020-01-01
296252,57.0,3707,0.015376315079579175,2020-01-01
296253,29.0,4362,0.006648326455754241,2020-01-01
296258,19.0,1548,0.01227390180878553,2020-01-01
296263,2.0,2765,0.0007233273056057866,2020-01-01
296265,102.0,6072,0.016798418972332016,2020-01-01
296267,29.0,3787,0.007657776604172168,2020-01-01
296271,8.0,5185,0.0015429122468659595,2020-01-01
296274,65.0,9527,0.006822714390679122,2020-01-01
296276,23.0,2978,0.007723304231027535,2020-01-01
296277,49.0,5761,0.00850546780072904,2020-01-01
296279,61.0,4600,0.013260869565217392,2020-01-01
296281,76.0,7037,0.010800056842404433,2020-01-01
296282,19.0,2108,0.009013282732447819,2020-01-01
296284,109.0,6614,0.016480193528878136,2020-01-01
296286,87.0,7229,0.012034859593304744,2020-01-01
296287,119.0,5092,0.023369992144540455,2020-01-01
296288,115.0,5064,0.022709320695102685,2020-01-01
296289,120.0,6105,0.019656019656019656,2020-01-01
296291,127.0,9785,0.012979049565661727,2020-01-01
296292,78.0,5560,0.014028776978417265,2020-01-01
296293,12.0,15100,0.0007947019867549669,2020-01-01
296295,196.0,10960,0.017883211678832115,2020-01-01
296296,100.0,7548,0.013248542660307366,2020-01-01
296398,3.0,10192,0.0002943485086342229,2020-01-01
296400,6.0,4587,0.0013080444735120995,2020-01-01
296401,105.0,11818,0.008884752073108817,2020-01-01
296402,247.0,8915,0.02770611329220415,2020-01-01
296403,28.0,12276,0.002280873248615184,2020-01-01
296404,80.0,6079,0.01316005922026649,2020-01-01
296408,27.0,9437,0.002861078732648087,2020-01-01
296409,34.0,4488,0.007575757575757576,2020-01-01
296410,142.0,11331,0.012531991880681317,2020-01-01
296411,224.0,8955,0.02501395868230039,2020-01-01
296412,223.0,6127,0.03639627876611719,2020-01-01
296413,32.0,8004,0.00399800099950025,2020-01-01
296414,9.0,7279,0.001236433576040665,2020-01-01
296415,64.0,2091,0.030607364897178385,2020-01-01
296416,43.0,8490,0.005064782096584217,2020-01-01
296417,7.0,10630,0.000658513640639699,2020-01-01
296420,99.0,5182,0.019104592821304514,2020-01-01
296422,221.0,10642,0.020766773162939296,2020-01-01
296424,222.0,9319,0.02382229852988518,2020-01-01
296425,338.0,19829,0.01704574108628776,2020-01-01
296426,223.0,11577,0.019262330482853935,2020-01-01
296427,43.0,10705,0.004016814572629613,2020-01-01
296429,201.0,15128,0.013286620835536753,2020-01-01
296431,168.0,8861,0.01895948538539668,2020-01-01
296433,3.0,5609,0.0005348546978070957,2020-01-01
296434,30.0,9035,0.003320420586607637,2020-01-01
296435,17.0,12683,0.0013403768824410628,2020-01-01
296437,71.0,11143,0.006371713183164318,2020-01-01
296439,7.0,4482,0.0015618027666220438,2020-01-01
296440,112.0,8261,0.013557680668199975,2020-01-01
296441,51.0,6442,0.007916796026078858,2020-01-01
296442,137.0,9545,0.014353064431639601,2020-01-01
296445,51.0,11498,0.004435554009392938,2020-01-01
296447,106.0,9637,0.010999273632873301,2020-01-01
296450,71.0,5033,0.01410689449632426,2020-01-01
296457,4.0,3758,0.0010643959552953698,2020-01-01
296461,18.0,3639,0.00494641384995878,2020-01-01
296462,56.0,4779,0.011717932621887424,2020-01-01
296463,2.0,3143,0.0006363347120585428,2020-01-01
296464,0.0,2245,0.0,2020-01-01
296468,0.0,1908,0.0,2020-01-01
296469,58.0,4546,0.012758468983721953,2020-01-01
296470,31.0,1661,0.018663455749548464,2020-01-01
296471,24.0,1337,0.01795063575168287,2020-01-01
296474,68.0,5997,0.011339002834750709,2020-01-01
296477,13.0,2335,0.00556745182012848,2020-01-01
296481,101.0,6902,0.014633439582729644,2020-01-01
296482,127.0,9286,0.013676502261468878,2020-01-01
296483,95.0,4145,0.022919179734620022,2020-01-01
296484,42.0,3364,0.01248513674197384,2020-01-01
296485,26.0,3786,0.006867406233491812,2020-01-01
296486,51.0,4600,0.01108695652173913,2020-01-01
296488,82.0,8364,0.00980392156862745,2020-01-01
296489,44.0,2846,0.015460295151089248,2020-01-01
296490,47.0,2480,0.018951612903225806,2020-01-01
296492,30.0,14677,0.0020440144443687404,2020-01-01
296495,145.0,12471,0.011626974581027984,2020-01-01
296499,18.0,3122,0.005765534913516977,2020-01-01
296506,10.0,1929,0.005184033177812338,2020-01-01
296509,39.0,4391,0.00888180368936461,2020-01-01
296511,32.0,4478,0.007146047342563644,2020-01-01
296512,48.0,6170,0.007779578606158833,2020-01-01
296516,62.0,4746,0.013063632532659082,2020-01-01
296517,84.0,5375,0.015627906976744186,2020-01-01
296518,17.0,4971,0.003419835043250855,2020-01-01
296519,413.0,40053,0.01031133747784186,2020-01-01
296520,65.0,5055,0.012858555885262116,2020-01-01
296523,13.0,2109,0.006164058795637743,2020-01-01
296524,77.0,8138,0.009461784222167608,2020-01-01
296525,79.0,7835,0.010082961072112316,2020-01-01
296527,175.0,14473,0.012091480688177987,2020-01-01
296528,26.0,2828,0.009193776520509194,2020-01-01
296529,76.0,7601,0.009998684383633733,2020-01-01
296530,42.0,3954,0.010622154779969651,2020-01-01
296532,137.0,9986,0.013719206889645504,2020-01-01
296537,41.0,5433,0.007546475243879993,2020-01-01
296539,91.0,10170,0.00894788593903638,2020-01-01
296544,51.0,3934,0.012963904422979155,2020-01-01
296545,142.0,8368,0.016969407265774377,2020-01-01
296546,122.0,15588,0.007826533230690274,2020-01-01
296551,46.0,7242,0.0063518365092515875,2020-01-01
296552,140.0,8680,0.016129032258064516,2020-01-01
296553,75.0,8230,0.009113001215066828,2020-01-01
296557,40.0,4577,0.008739348918505571,2020-01-01
296559,95.0,12099,0.00785188858583354,2020-01-01
296598,104.0,7335,0.014178595773687798,2020-01-01
296601,42.0,4505,0.009322974472807992,2020-01-01
296606,100.0,6229,0.016053941242575052,2020-01-01
296607,67.0,5582,0.012002866356144752,2020-01-01
296609,114.0,12404,0.009190583682683006,2020-01-01
296611,146.0,15081,0.009681055632915589,2020-01-01
296612,61.0,4991,0.012221999599278702,2020-01-01
296613,86.0,10344,0.008313998453209591,2020-01-01
296616,54.0,4977,0.0108499095840868,2020-01-01
296628,30.0,4831,0.00620989443179466,2020-01-01
296629,2.0,8123,0.0002462144527883787,2020-01-01
296630,9.0,2084,0.004318618042226488,2020-01-01
296635,72.0,8709,0.00826730967964175,2020-01-01
296639,79.0,5198,0.01519815313582147,2020-01-01
296642,16.0,7350,0.0021768707482993197,2020-01-01
296645,63.0,11840,0.005320945945945946,2020-01-01
296646,155.0,10448,0.014835375191424196,2020-01-01
296686,22.0,4552,0.0048330404217926184,2020-01-01
296695,58.0,3935,0.014739517153748412,2020-01-01
296696,48.0,6435,0.007459207459207459,2020-01-01
296748,1.0,5375,0.00018604651162790697,2020-01-01
296752,128.0,46333,0.0027626098029482227,2020-01-01
296753,0.0,5902,0.0,2020-01-01
296754,1.0,6509,0.00015363343063450608,2020-01-01
296756,154.0,10795,0.014265863825845299,2020-01-01
296757,101.0,5042,0.020031733439111465,2020-01-01
296758,0.0,11059,0.0,2020-01-01
296762,0.0,5569,0.0,2020-01-01
296764,32.0,3554,0.009003939223410242,2020-01-01
296766,45.0,6821,0.006597273127107462,2020-01-01
296770,16.0,5872,0.0027247956403269754,2020-01-01
296771,0.0,6649,0.0,2020-01-01
296772,20.0,12822,0.0015598190609889253,2020-01-01
296773,144.0,5540,0.025992779783393503,2020-01-01
296774,78.0,6915,0.011279826464208243,2020-01-01
296775,3.0,7541,0.00039782522211908233,2020-01-01
296776,123.0,10164,0.012101534828807556,2020-01-01
296777,164.0,7607,0.021559090311555146,2020-01-01
296778,2.0,23895,8.369951872776731e-05,2020-01-01
296779,180.0,7016,0.02565564424173318,2020-01-01
296799,14.0,2847,0.004917456972251493,2020-01-01
296815,85.0,5003,0.016989806116330202,2020-01-01
296819,0.0,6861,0.0,2020-01-01
296820,308.0,17321,0.017781883263091047,2020-01-01
296821,64.0,3794,0.01686874011597259,2020-01-01
296822,0.0,2109,0.0,2020-01-01
296823,0.0,3506,0.0,2020-01-01
296827,128.0,6134,0.020867297032931203,2020-01-01
296828,1.0,3858,0.0002592016588906169,2020-01-01
296834,2.0,5237,0.0003818980332251289,2020-01-01
296836,132.0,4962,0.026602176541717048,2020-01-01
296837,176.0,8228,0.0213903743315508,2020-01-01
296838,227.0,13814,0.016432604604024903,2020-01-01
296841,350.0,21941,0.015951870926575816,2020-01-01
296842,72.0,5560,0.012949640287769784,2020-01-01
296843,2.0,6851,0.00029192818566632606,2020-01-01
296846,3.0,7349,0.0004082188052796299,2020-01-01
296847,58.0,5249,0.011049723756906077,2020-01-01
296849,13.0,8669,0.0014995962625446995,2020-01-01
296852,42.0,2763,0.01520086862106406,2020-01-01
296853,413.0,26817,0.015400678673975463,2020-01-01
296854,312.0,16770,0.018604651162790697,2020-01-01
296855,94.0,6346,0.01481248030255279,2020-01-01
296856,53.0,5186,0.010219822599305824,2020-01-01
296857,76.0,4608,0.016493055555555556,2020-01-01
296860,8.0,4917,0.0016270083384177345,2020-01-01
296862,7.0,6227,0.0011241368235105186,2020-01-01
296863,9.0,5474,0.0016441359152356595,2020-01-01
296864,80.0,16322,0.004901360127435363,2020-01-01
296865,82.0,4417,0.018564636631197645,2020-01-01
296870,702.0,46024,0.015252911524422041,2020-01-01
296871,87.0,8466,0.010276399716513111,2020-01-01
296886,1.0,8313,0.00012029351617947793,2020-01-01
296892,14.0,2261,0.006191950464396285,2020-01-01
