stp,inr,population,value,date
,51.0,6717,0.007592675301473872,2020-01-01
E54000005,17332.0,1822732,0.009508803268939154,2020-01-01
E54000006,11554.0,852911,0.01354654823305128,2020-01-01
E54000007,1509.0,175567,0.008595009312684046,2020-01-01
E54000008,782.0,129960,0.006017236072637735,2020-01-01
E54000009,9466.0,867416,0.01091287225506562,2020-01-01
E54000010,775.0,59919,0.012934127739114471,2020-01-01
E54000012,12071.0,708485,0.017037763678835825,2020-01-01
E54000013,6496.0,546349,0.011889835983958971,2020-01-01
E54000014,10952.0,746554,0.014670070751747363,2020-01-01
E54000015,10761.0,833820,0.012905663092753832,2020-01-01
E54000016,2424.0,273719,0.008855797368834462,2020-01-01
E54000017,1701.0,422240,0.0040285145888594165,2020-01-01
E54000020,4985.0,489525,0.01018334099382054,2020-01-01
E54000021,7736.0,701922,0.011021167594120144,2020-01-01
E54000022,15178.0,721558,0.021035038070397666,2020-01-01
E54000023,10766.0,612457,0.017578376930951888,2020-01-01
E54000024,7287.0,787069,0.00925840047060677,2020-01-01
E54000025,6974.0,646165,0.01079290893192915,2020-01-01
E54000026,5586.0,953896,0.005855984300175281,2020-01-01
E54000027,3963.0,1299022,0.003050756646153799,2020-01-01
E54000029,275.0,80417,0.0034196749443525624,2020-01-01
E54000033,8075.0,716532,0.011269559489317993,2020-01-01
E54000035,583.0,35419,0.016460092040994946,2020-01-01
E54000036,3750.0,209099,0.01793408863743968,2020-01-01
E54000037,12189.0,647349,0.018829101458409606,2020-01-01
E54000040,6595.0,733360,0.008992854805279808,2020-01-01
E54000041,8011.0,658475,0.012165989597175292,2020-01-01
E54000042,6546.0,499323,0.013109750602315536,2020-01-01
E54000043,4993.0,410975,0.012149157491331589,2020-01-01
E54000044,249.0,21480,0.01159217877094972,2020-01-01
E54000049,15486.0,1344585,0.01151730831446134,2020-01-01
,42.0,6717,0.006252791424743189,2020-02-01
E54000005,15022.0,1822732,0.008241474884952917,2020-02-01
E54000006,9780.0,852911,0.011466612577396704,2020-02-01
E54000007,1247.0,175567,0.007102701532748182,2020-02-01
E54000008,700.0,129960,0.00538627269929209,2020-02-01
E54000009,8036.0,867416,0.009264297638042185,2020-02-01
E54000010,651.0,59919,0.010864667300856156,2020-02-01
E54000012,10157.0,708485,0.01433622447899391,2020-02-01
E54000013,5315.0,546349,0.009728214017047711,2020-02-01
E54000014,9891.0,746554,0.013248874160476,2020-02-01
E54000015,9217.0,833820,0.011053944496414093,2020-02-01
E54000016,1954.0,273719,0.007138707945009298,2020-02-01
E54000017,1340.0,422240,0.003173550587343691,2020-02-01
E54000020,4404.0,489525,0.008996476175884786,2020-02-01
E54000021,6552.0,701922,0.009334370485609512,2020-02-01
E54000022,12581.0,721558,0.017435881800215644,2020-02-01
E54000023,9069.0,612457,0.01480757016410948,2020-02-01
E54000024,6064.0,787069,0.007704534164094889,2020-02-01
E54000025,5723.0,646165,0.008856870923061448,2020-02-01
E54000026,4831.0,953896,0.005064493403893087,2020-02-01
E54000027,3353.0,1299022,0.002581172605236863,2020-02-01
E54000029,238.0,80417,0.002959573224566945,2020-02-01
E54000033,7056.0,716532,0.00984743179648641,2020-02-01
E54000035,493.0,35419,0.013919082978062622,2020-02-01
E54000036,3100.0,209099,0.014825513273616803,2020-02-01
E54000037,10276.0,647349,0.015873972154123974,2020-02-01
E54000040,5292.0,733360,0.007216101232682448,2020-02-01
E54000041,6601.0,658475,0.01002467823379779,2020-02-01
E54000042,5620.0,499323,0.011255239594410832,2020-02-01
E54000043,4079.0,410975,0.009925177930531054,2020-02-01
E54000044,239.0,21480,0.011126629422718809,2020-02-01
E54000049,13010.0,1344585,0.009675847938211418,2020-02-01
,48.0,6717,0.007146047342563644,2020-03-01
E54000005,14397.0,1822732,0.007898583006168762,2020-03-01
E54000006,10309.0,852911,0.012086841417217036,2020-03-01
E54000007,1336.0,175567,0.007609630511428685,2020-03-01
E54000008,735.0,129960,0.005655586334256694,2020-03-01
E54000009,8621.0,867416,0.0099387145268245,2020-03-01
E54000010,664.0,59919,0.011081626862931624,2020-03-01
E54000012,10119.0,708485,0.01428258890449339,2020-03-01
E54000013,5312.0,546349,0.009722723021365464,2020-03-01
E54000014,10658.0,746554,0.014276261328718351,2020-03-01
E54000015,9834.0,833820,0.011793912355184573,2020-03-01
E54000016,1970.0,273719,0.00719716205305441,2020-03-01
E54000017,1346.0,422240,0.0031877605153467223,2020-03-01
E54000020,4102.0,489525,0.008379551606148818,2020-03-01
E54000021,6619.0,701922,0.009429822686851245,2020-03-01
E54000022,13427.0,721558,0.018608344720729312,2020-03-01
E54000023,9735.0,612457,0.015894993444437733,2020-03-01
E54000024,6205.0,787069,0.007883679829849733,2020-03-01
E54000025,5697.0,646165,0.00881663352239753,2020-03-01
