stp,inr,population,value,date
E54000026,4793.0,953896,0.005024656776000738,2020-03-01
E54000027,3416.0,1299022,0.0026296706291348416,2020-03-01
E54000029,187.0,80417,0.0023253789621597424,2020-03-01
E54000033,7491.0,716532,0.010454522617273199,2020-03-01
E54000035,523.0,35419,0.014766085999040062,2020-03-01
E54000036,3211.0,209099,0.015356362297285018,2020-03-01
E54000037,11155.0,647349,0.017231817767541156,2020-03-01
E54000040,5386.0,733360,0.007344278389876732,2020-03-01
E54000041,6705.0,658475,0.010182618930103648,2020-03-01
E54000042,5323.0,499323,0.010660434227944637,2020-03-01
E54000043,4271.0,410975,0.010392359632581057,2020-03-01
E54000044,230.0,21480,0.010707635009310988,2020-03-01
E54000049,13815.0,1344585,0.010274545677662625,2020-03-01
,34.0,6717,0.005061783534315915,2020-04-01
E54000005,10720.0,1822732,0.005881281504905822,2020-04-01
E54000006,8238.0,852911,0.009658686545255014,2020-04-01
E54000007,1033.0,175567,0.005883793651426521,2020-04-01
E54000008,636.0,129960,0.004893813481071099,2020-04-01
E54000009,7467.0,867416,0.008608326339380412,2020-04-01
E54000010,549.0,59919,0.009162369198417864,2020-04-01
E54000012,9333.0,708485,0.013173179389824766,2020-04-01
E54000013,4740.0,546349,0.008675773177950357,2020-04-01
E54000014,8959.0,746554,0.012000471499717369,2020-04-01
E54000015,8502.0,833820,0.01019644527595884,2020-04-01
E54000016,1671.0,273719,0.00610480090896138,2020-04-01
E54000017,1026.0,422240,0.002429897688518378,2020-04-01
E54000020,3911.0,489525,0.007989377457739645,2020-04-01
E54000021,4765.0,701922,0.006788503565923279,2020-04-01
E54000022,11532.0,721558,0.015982083214377777,2020-04-01
E54000023,7792.0,612457,0.012722525826302908,2020-04-01
E54000024,5369.0,787069,0.006821511201686256,2020-04-01
E54000025,4771.0,646165,0.00738356302182879,2020-04-01
E54000026,3621.0,953896,0.003796011305215663,2020-04-01
E54000027,3105.0,1299022,0.0023902597492575185,2020-04-01
E54000029,210.0,80417,0.002611388139323775,2020-04-01
E54000033,6734.0,716532,0.009398045027995959,2020-04-01
E54000035,456.0,35419,0.01287444591885711,2020-04-01
E54000036,2734.0,209099,0.01307514622260269,2020-04-01
E54000037,8310.0,647349,0.012836970474967908,2020-04-01
E54000040,4472.0,733360,0.006097960074179121,2020-04-01
E54000041,4898.0,658475,0.007438399331789362,2020-04-01
E54000042,3696.0,499323,0.007402022338245985,2020-04-01
E54000043,3679.0,410975,0.00895188271792688,2020-04-01
E54000044,198.0,21480,0.009217877094972068,2020-04-01
E54000049,11628.0,1344585,0.008648021508495186,2020-04-01
,33.0,6717,0.004912907548012505,2020-05-01
E54000005,10671.0,1822732,0.005854398781609145,2020-05-01
E54000006,7770.0,852911,0.009109977477134192,2020-05-01
E54000007,992.0,175567,0.005650264571360222,2020-05-01
E54000008,640.0,129960,0.0049245921822099106,2020-05-01
E54000009,6919.0,867416,0.007976564877751852,2020-05-01
E54000010,541.0,59919,0.009028855621756038,2020-05-01
E54000012,8594.0,708485,0.012130108612038363,2020-05-01
E54000013,4351.0,546349,0.007963774071152322,2020-05-01
E54000014,8869.0,746554,0.011879917594708488,2020-05-01
E54000015,8114.0,833820,0.009731117027655849,2020-05-01
E54000016,1583.0,273719,0.005783303314713264,2020-05-01
E54000017,1018.0,422240,0.0024109511178476697,2020-05-01
E54000020,3643.0,489525,0.007441907972013687,2020-05-01
E54000021,4066.0,701922,0.005792666421625195,2020-05-01
E54000022,10857.0,721558,0.015046607479925384,2020-05-01
E54000023,7076.0,612457,0.011553464161565628,2020-05-01
E54000024,5038.0,787069,0.006400963574985166,2020-05-01
E54000025,4462.0,646165,0.006905356990861467,2020-05-01
E54000026,3707.0,953896,0.0038861678841299262,2020-05-01
E54000027,2917.0,1299022,0.002245535487466725,2020-05-01
E54000029,241.0,80417,0.0029968787694144273,2020-05-01
E54000033,6267.0,716532,0.008746294652576578,2020-05-01
E54000035,452.0,35419,0.012761512182726784,2020-05-01
E54000036,2575.0,209099,0.012314740864375248,2020-05-01
E54000037,7610.0,647349,0.011755637221962188,2020-05-01
E54000040,4153.0,733360,0.0056629758917857535,2020-05-01
E54000041,4833.0,658475,0.0073396863965982,2020-05-01
E54000042,3649.0,499323,0.0073078948896806275,2020-05-01
E54000043,3397.0,410975,0.008265709593040939,2020-05-01
E54000044,197.0,21480,0.009171322160148977,2020-05-01
E54000049,10251.0,1344585,0.0076239136982786514,2020-05-01
,48.0,6717,0.007146047342563644,2020-06-01
E54000005,11739.0,1822732,0.006440332424075508,2020-06-01
E54000006,8628.0,852911,0.010115944102022368,2020-06-01
E54000007,1225.0,175567,0.006977393245883338,2020-06-01
E54000008,747.0,129960,0.00574792243767313,2020-06-01
E54000009,7645.0,867416,0.00881353352947144,2020-06-01
E54000010,565.0,59919,0.009429396351741517,2020-06-01
E54000012,8801.0,708485,0.012422281346817506,2020-06-01
E54000013,4725.0,546349,0.008648318199539122,2020-06-01
E54000014,10210.0,746554,0.013676170779340812,2020-06-01
E54000015,8890.0,833820,0.010661773524261831,2020-06-01
E54000016,1789.0,273719,0.0065358999557940806,2020-06-01
E54000017,1127.0,422240,0.0026690981432360744,2020-06-01
E54000020,3927.0,489525,0.00802206220315612,2020-06-01
E54000021,4485.0,701922,0.006389598844316035,2020-06-01
E54000022,12041.0,721558,0.01668750121265373,2020-06-01
E54000023,7719.0,612457,0.012603333785065727,2020-06-01
E54000024,5533.0,787069,0.007029879210081962,2020-06-01
E54000025,5261.0,646165,0.008141883265110304,2020-06-01
E54000026,3955.0,953896,0.00414615429774315,2020-06-01
E54000027,3127.0,1299022,0.002407195567126654,2020-06-01
E54000029,277.0,80417,0.0034445453075842175,2020-06-01
E54000033,6770.0,716532,0.009448287026957623,2020-06-01
E54000035,512.0,35419,0.014455518224681668,2020-06-01
E54000036,2834.0,209099,0.01355338858626775,2020-06-01
E54000037,8507.0,647349,0.013141288547599517,2020-06-01
E54000040,4544.0,733360,0.006196138322242827,2020-06-01
E54000041,5359.0,658475,0.008138501841375906,2020-06-01
E54000042,3942.0,499323,0.00789468940946041,2020-06-01
E54000043,3489.0,410975,0.008489567491939898,2020-06-01
E54000044,207.0,21480,0.009636871508379889,2020-06-01
E54000049,9758.0,1344585,0.007257257815608533,2020-06-01
,8.0,6717,0.001191007890427274,2020-07-01
E54000005,11907.0,1822732,0.006532501761092689,2020-07-01
E54000006,8368.0,852911,0.009811105730844132,2020-07-01
E54000007,1209.0,175567,0.00688625994634527,2020-07-01
E54000008,717.0,129960,0.00551708217913204,2020-07-01
E54000009,7196.0,867416,0.008295904156713734,2020-07-01
E54000010,548.0,59919,0.009145680001335135,2020-07-01
E54000012,8499.0,708485,0.011996019675787067,2020-07-01
E54000013,4654.0,546349,0.008518364635059275,2020-07-01
E54000014,9220.0,746554,0.012350077824243123,2020-07-01
E54000015,8545.0,833820,0.010248015159147058,2020-07-01
E54000016,1742.0,273719,0.006364191013411564,2020-07-01
E54000017,1071.0,422240,0.002536472148541114,2020-07-01
E54000020,3870.0,489525,0.007905622797609929,2020-07-01
E54000021,4576.0,701922,0.00651924287883839,2020-07-01
E54000022,11747.0,721558,0.016280049559425577,2020-07-01
E54000023,7883.0,612457,0.012871107685927339,2020-07-01
E54000024,5253.0,787069,0.006674128951845391,2020-07-01
E54000025,5374.0,646165,0.00831676119876502,2020-07-01
E54000026,4195.0,953896,0.004397754052852722,2020-07-01
E54000027,3160.0,1299022,0.0024325992939303567,2020-07-01
E54000029,276.0,80417,0.0034321101259683897,2020-07-01
E54000033,6731.0,716532,0.009393858194749152,2020-07-01
E54000035,493.0,35419,0.013919082978062622,2020-07-01
E54000036,2764.0,209099,0.013218618931702208,2020-07-01
E54000037,8461.0,647349,0.013070229505259141,2020-07-01
E54000040,4633.0,733360,0.0063174975455437985,2020-07-01
E54000041,5905.0,658475,0.008967690496981663,2020-07-01
E54000042,3950.0,499323,0.007910711102833236,2020-07-01
E54000043,3367.0,410975,0.008192712452095626,2020-07-01
E54000044,195.0,21480,0.009078212290502794,2020-07-01
E54000049,9621.0,1344585,0.0071553676413168375,2020-07-01
,8.0,6717,0.001191007890427274,2020-08-01
E54000005,10949.0,1822732,0.006006917089292337,2020-08-01
E54000006,7772.0,852911,0.009112322387681716,2020-08-01
E54000007,1106.0,175567,0.006299589330568956,2020-08-01
E54000008,623.0,129960,0.00479378270236996,2020-08-01
E54000009,6857.0,867416,0.007905088216034752,2020-08-01
E54000010,587.0,59919,0.009796558687561541,2020-08-01
E54000012,7985.0,708485,0.011270527957543209,2020-08-01
E54000013,3980.0,546349,0.007284720938447769,2020-08-01
E54000014,9239.0,746554,0.01237552809307833,2020-08-01
E54000015,8144.0,833820,0.009767096015926699,2020-08-01
E54000016,1601.0,273719,0.005849064186264016,2020-08-01
E54000017,1024.0,422240,0.002425161045850701,2020-08-01
E54000020,3262.0,489525,0.006663602471783872,2020-08-01
E54000021,4239.0,701922,0.00603913255318967,2020-08-01
E54000022,11176.0,721558,0.0154887063825777,2020-08-01
E54000023,7286.0,612457,0.011896345376083545,2020-08-01
E54000024,5003.0,787069,0.0063564947927055955,2020-08-01
E54000025,5025.0,646165,0.007776651474468595,2020-08-01
E54000026,3812.0,953896,0.003996242776990364,2020-08-01
E54000027,2895.0,1299022,0.0022285996695975896,2020-08-01
E54000029,225.0,80417,0.002797915863561187,2020-08-01
E54000033,6327.0,716532,0.008830031317512687,2020-08-01
E54000035,411.0,35419,0.011603941387390949,2020-08-01
E54000036,2733.0,209099,0.01307036379896604,2020-08-01
E54000037,7794.0,647349,0.012039873391323692,2020-08-01
E54000040,4119.0,733360,0.005616613941311225,2020-08-01
E54000041,5302.0,658475,0.008051938190515966,2020-08-01
E54000042,3594.0,499323,0.007197745747742444,2020-08-01
E54000043,3162.0,410975,0.007693898655635988,2020-08-01
E54000044,166.0,21480,0.007728119180633147,2020-08-01
E54000049,8493.0,1344585,0.006316447082185209,2020-08-01
,9.0,6717,0.0013398838767306833,2020-09-01
E54000005,11925.0,1822732,0.006542377047201673,2020-09-01
E54000006,8539.0,852911,0.01001159558265751,2020-09-01
E54000007,1225.0,175567,0.006977393245883338,2020-09-01
E54000008,648.0,129960,0.004986149584487534,2020-09-01
E54000009,7259.0,867416,0.008368533667813368,2020-09-01
E54000010,601.0,59919,0.010030207446719739,2020-09-01
E54000012,8967.0,708485,0.01265658411963556,2020-09-01
E54000013,4561.0,546349,0.008348143768909617,2020-09-01
E54000014,10240.0,746554,0.013716355414343772,2020-09-01
E54000015,8868.0,833820,0.010635388932863208,2020-09-01
E54000016,1877.0,273719,0.006857397550042196,2020-09-01
E54000017,1130.0,422240,0.00267620310723759,2020-09-01
E54000020,3956.0,489525,0.008081303304223481,2020-09-01
E54000021,4853.0,701922,0.006913873621285556,2020-09-01
E54000022,12664.0,721558,0.017550910668303863,2020-09-01
E54000023,8421.0,612457,0.01374953670216848,2020-09-01
E54000024,5641.0,787069,0.007167097166830354,2020-09-01
E54000025,5165.0,646165,0.007993314401120458,2020-09-01
E54000026,4293.0,953896,0.004500490619522464,2020-09-01
E54000027,3157.0,1299022,0.002430289864220929,2020-09-01
E54000029,225.0,80417,0.002797915863561187,2020-09-01
E54000033,6912.0,716532,0.009646463800639748,2020-09-01
E54000035,499.0,35419,0.01408848358225811,2020-09-01
E54000036,3028.0,209099,0.014481178771777962,2020-09-01
E54000037,8745.0,647349,0.013508941853621462,2020-09-01
E54000040,4553.0,733360,0.006208410603250791,2020-09-01
E54000041,5849.0,658475,0.008882645506663123,2020-09-01
E54000042,4074.0,499323,0.008159047350112051,2020-09-01
E54000043,3450.0,410975,0.008394671208710992,2020-09-01
E54000044,187.0,21480,0.008705772811918063,2020-09-01
E54000049,9505.0,1344585,0.007069095668923869,2020-09-01
