stp,cholesterol,population,value,date
E54000015,6318.0,833820,0.007577174929840973,2020-05-01
E54000016,2579.0,273719,0.009422071540521484,2020-05-01
E54000017,2698.0,422240,0.006389730958696476,2020-05-01
E54000020,3652.0,489525,0.0074602931413104544,2020-05-01
E54000021,4160.0,701922,0.005926584435307627,2020-05-01
E54000022,5585.0,721558,0.007740195521357951,2020-05-01
E54000023,4529.0,612457,0.007394804859769747,2020-05-01
E54000024,5025.0,787069,0.006384446598709897,2020-05-01
E54000025,3294.0,646165,0.0050977691456516525,2020-05-01
E54000026,5415.0,953896,0.005676719474659711,2020-05-01
E54000027,8633.0,1299022,0.0066457688938293576,2020-05-01
E54000029,377.0,80417,0.0046880634691669676,2020-05-01
E54000033,4391.0,716532,0.006128128262240904,2020-05-01
E54000035,494.0,35419,0.013947316412095203,2020-05-01
E54000036,2289.0,209099,0.010946967704293181,2020-05-01
E54000037,4626.0,647349,0.007146068040577803,2020-05-01
E54000040,5697.0,733360,0.0077683538780407985,2020-05-01
E54000041,4709.0,658475,0.0071513724894642925,2020-05-01
E54000042,3013.0,499323,0.006034170266540896,2020-05-01
E54000043,2541.0,410975,0.006182857838068009,2020-05-01
E54000044,130.0,21480,0.006052141527001862,2020-05-01
E54000049,10076.0,1344585,0.007493762015789258,2020-05-01
,37.0,6717,0.005508411493226143,2020-06-01
E54000005,26090.0,1822732,0.014313678587965757,2020-06-01
E54000006,10082.0,852911,0.011820694070072963,2020-06-01
E54000007,2665.0,175567,0.015179390204309466,2020-06-01
E54000008,1776.0,129960,0.013665743305632503,2020-06-01
E54000009,15269.0,867416,0.01760285722190967,2020-06-01
E54000010,774.0,59919,0.012917438542031742,2020-06-01
E54000012,11342.0,708485,0.01600880752591798,2020-06-01
E54000013,10087.0,546349,0.018462557815608703,2020-06-01
E54000014,12781.0,746554,0.017119993999094505,2020-06-01
E54000015,13442.0,833820,0.016120985344558778,2020-06-01
E54000016,5346.0,273719,0.019530978850573033,2020-06-01
E54000017,6350.0,422240,0.015038840469874953,2020-06-01
E54000020,7464.0,489525,0.01524743373678566,2020-06-01
E54000021,9691.0,701922,0.013806377346770723,2020-06-01
E54000022,11378.0,721558,0.015768656157924936,2020-06-01
E54000023,9365.0,612457,0.015290869399810926,2020-06-01
E54000024,11608.0,787069,0.014748389277179003,2020-06-01
E54000025,8625.0,646165,0.013347983874087888,2020-06-01
E54000026,11752.0,953896,0.012320001341865361,2020-06-01
E54000027,20969.0,1299022,0.01614214385899546,2020-06-01
E54000029,784.0,80417,0.009749182386808759,2020-06-01
E54000033,9040.0,716532,0.012616324183707077,2020-06-01
E54000035,833.0,35419,0.023518450549140292,2020-06-01
E54000036,4250.0,209099,0.020325300455764972,2020-06-01
E54000037,9604.0,647349,0.014835892231238481,2020-06-01
E54000040,11514.0,733360,0.015700338169521107,2020-06-01
E54000041,9387.0,658475,0.014255666502145109,2020-06-01
E54000042,6322.0,499323,0.012661143187876384,2020-06-01
E54000043,5822.0,410975,0.014166311819453738,2020-06-01
E54000044,222.0,21480,0.010335195530726256,2020-06-01
E54000049,24528.0,1344585,0.018242059817713274,2020-06-01
,71.0,6717,0.010570195027542058,2020-07-01
E54000005,36211.0,1822732,0.019866332516244846,2020-07-01
E54000006,14803.0,852911,0.01735585541750546,2020-07-01
E54000007,4127.0,175567,0.023506695449600438,2020-07-01
E54000008,2789.0,129960,0.021460449369036627,2020-07-01
E54000009,21132.0,867416,0.024362013151705757,2020-07-01
E54000010,1174.0,59919,0.019593117375123082,2020-07-01
E54000012,15861.0,708485,0.02238720650401914,2020-07-01
E54000013,14758.0,546349,0.02701203809286738,2020-07-01
E54000014,17820.0,746554,0.0238696731917584,2020-07-01
E54000015,14548.0,833820,0.017447410712144108,2020-07-01
E54000016,7174.0,273719,0.026209360694727075,2020-07-01
E54000017,9244.0,422240,0.02189276241000379,2020-07-01
E54000020,10386.0,489525,0.021216485368469436,2020-07-01
E54000021,14092.0,701922,0.020076304774604585,2020-07-01
E54000022,16242.0,721558,0.022509625005890033,2020-07-01
E54000023,13617.0,612457,0.022233397609954658,2020-07-01
E54000024,15671.0,787069,0.019910579631518963,2020-07-01
E54000025,13240.0,646165,0.020490122491933174,2020-07-01
E54000026,19553.0,953896,0.020498041715239397,2020-07-01
E54000027,29197.0,1299022,0.022476139742052096,2020-07-01
E54000029,1398.0,80417,0.017384383898926842,2020-07-01
E54000033,12723.0,716532,0.017756359799701898,2020-07-01
E54000035,963.0,35419,0.02718879697337587,2020-07-01
E54000036,4899.0,209099,0.0234290933959512,2020-07-01
E54000037,13571.0,647349,0.020963962252200898,2020-07-01
E54000040,15126.0,733360,0.0206256136140504,2020-07-01
E54000041,13409.0,658475,0.020363719199665894,2020-07-01
E54000042,7973.0,499323,0.015967620157693516,2020-07-01
E54000043,8064.0,410975,0.01962163148610013,2020-07-01
E54000044,358.0,21480,0.016666666666666666,2020-07-01
E54000049,36184.0,1344585,0.02691090559540676,2020-07-01
,74.0,6717,0.011016822986452285,2020-08-01
E54000005,37337.0,1822732,0.020484086525062378,2020-08-01
E54000006,14966.0,852911,0.01754696562712874,2020-08-01
E54000007,4237.0,175567,0.024133236883924655,2020-08-01
E54000008,2863.0,129960,0.022029855340104647,2020-08-01
E54000009,20265.0,867416,0.02336249273704889,2020-08-01
E54000010,1287.0,59919,0.021478996645471385,2020-08-01
E54000012,15640.0,708485,0.022075273294424016,2020-08-01
E54000013,14114.0,546349,0.025833304353078342,2020-08-01
E54000014,16646.0,746554,0.022297114475309222,2020-08-01
E54000015,16327.0,833820,0.019580964716605503,2020-08-01
E54000016,6734.0,273719,0.024601872723486497,2020-08-01
E54000017,9631.0,422240,0.02280930276619932,2020-08-01
E54000020,9796.0,489525,0.020011235381236912,2020-08-01
E54000021,13124.0,701922,0.018697234165619542,2020-08-01
E54000022,15359.0,721558,0.021285884156228604,2020-08-01
E54000023,13449.0,612457,0.021959092638340325,2020-08-01
E54000024,15320.0,787069,0.01946462127208669,2020-08-01
E54000025,12850.0,646165,0.01988656148197442,2020-08-01
E54000026,21836.0,953896,0.022891384385719197,2020-08-01
E54000027,28521.0,1299022,0.021955748247527756,2020-08-01
E54000029,1278.0,80417,0.015892162105027544,2020-08-01
E54000033,12604.0,716532,0.01759028208091195,2020-08-01
E54000035,929.0,35419,0.026228860216268104,2020-08-01
E54000036,4688.0,209099,0.022420002008617927,2020-08-01
E54000037,12949.0,647349,0.020003120418815818,2020-08-01
E54000040,14001.0,733360,0.01909157848805498,2020-08-01
E54000041,12763.0,658475,0.01938266448991989,2020-08-01
E54000042,7682.0,499323,0.015384831061256942,2020-08-01
E54000043,7887.0,410975,0.019190948354522782,2020-08-01
E54000044,321.0,21480,0.01494413407821229,2020-08-01
E54000049,33829.0,1344585,0.025159435811049506,2020-08-01
,82.0,6717,0.01220783087687956,2020-09-01
E54000005,42723.0,1822732,0.023438991579672712,2020-09-01
E54000006,18089.0,852911,0.021208543447088852,2020-09-01
E54000007,4845.0,175567,0.027596302266371244,2020-09-01
E54000008,3183.0,129960,0.024492151431209603,2020-09-01
E54000009,22442.0,867416,0.025872245842825128,2020-09-01
E54000010,1368.0,59919,0.022830821609172384,2020-09-01
E54000012,17781.0,708485,0.02509721447878219,2020-09-01
E54000013,16334.0,546349,0.02989664115794117,2020-09-01
E54000014,18217.0,746554,0.024401449861630908,2020-09-01
E54000015,20844.0,833820,0.024998201050586456,2020-09-01
E54000016,7392.0,273719,0.027005797916841726,2020-09-01
E54000017,11471.0,422240,0.027167014020462295,2020-09-01
E54000020,11806.0,489525,0.024117256524181604,2020-09-01
E54000021,16216.0,701922,0.023102282019939538,2020-09-01
E54000022,17692.0,721558,0.02451916547249147,2020-09-01
E54000023,15599.0,612457,0.025469543167928523,2020-09-01
E54000024,18317.0,787069,0.023272419571854563,2020-09-01
E54000025,16292.0,646165,0.025213374292943753,2020-09-01
E54000026,24825.0,953896,0.02602484966914632,2020-09-01
E54000027,34309.0,1299022,0.02641140796691665,2020-09-01
E54000029,1553.0,80417,0.019311837049380106,2020-09-01
E54000033,15447.0,716532,0.02155800438780124,2020-09-01
E54000035,1199.0,35419,0.033851887405065076,2020-09-01
E54000036,5591.0,209099,0.026738530552513403,2020-09-01
E54000037,14801.0,647349,0.02286401925391095,2020-09-01
E54000040,16689.0,733360,0.022756899749100033,2020-09-01
E54000041,15152.0,658475,0.023010744523330424,2020-09-01
E54000042,9165.0,499323,0.018354852470244713,2020-09-01
E54000043,8841.0,410975,0.021512257436583734,2020-09-01
E54000044,428.0,21480,0.019925512104283054,2020-09-01
E54000049,38729.0,1344585,0.0288036829207525,2020-09-01
